,Coefficients,P-Values
Security Audits,-139.60049205254597,0.5294357849216952
MS Access Database,-139.60049205254597,0.5294357849216952
Source Code Reviews,235.18825269818683,0.5307358622672613
ABAP,-231.53783616516478,0.5315879592283466
PostgreSQL,-197.40405077576864,0.5317597201992526
Postgres,-191.02350974478324,0.5392687499514766
Application Framework design,138.69435646917808,0.541842704316081
Unreal Engine,138.69435646917802,0.5418427043160818
Lua,138.69435646917802,0.5418427043160818
Game Development,138.69435646917802,0.5418427043160818
Game Programming,138.69435646917802,0.5418427043160818
REST,528.4153982308786,0.543909901256041
Node.js,750.0000000000206,0.5446194520443197
QoS,76.23319022822159,0.5490200355521045
Routing,76.23319022822159,0.5490200355521045
Updating of firmware,76.23319022822159,0.5490200355521045
Network Administration,76.23319022822159,0.5490200355521045
Routers,76.23319022822159,0.5490200355521045
Switches,76.23319022822159,0.5490200355521045
Regulatory Compliance,162.90986698162416,0.5493763911710705
Bootstrap,-201.6682125458522,0.558093171970471
Team Facilitation,-85.76594174067596,0.5615839328032115
Data Visualization,-152.91808650922738,0.5630785417837837
BAPI,225.6536331046051,0.5637509962866596
Cloud Computing Integration,-113.19700188347412,0.5646615273792477
Emerging Technology,-113.19700188347267,0.5646615273792525
mentorship to junior staff,-113.19700188347267,0.5646615273792525
control system applications,-113.19700188347267,0.5646615273792525
Operating Systems,-157.54169877780282,0.5696878499337555
Computer Hardware,-136.273764870658,0.572383223457423
Usability Testing,-136.27376487065808,0.572383223457423
MyBatis,-63.06842879086109,0.575023376409263
JBoss Application Server,-63.06842879086109,0.575023376409263
Payment Processing,-63.06842879086109,0.575023376409263
Tomcat,-63.06842879086109,0.575023376409263
Object Modeling,-63.06842879086109,0.575023376409263
Apache Camel,-63.068428790860004,0.5750233764092691
TypeScript,179.8851361667057,0.5787100279231526
Test Cases,-125.14391649436432,0.5813250137696719
Technology Transfer,134.3523674989765,0.5814928000013088
Thought Leadership,134.35236749897564,0.5814928000013113
Articulate,-99.61652361044821,0.5831173966158518
remove inefficiencies,92.16041992877572,0.5854267357223951
documentation of specifications,92.16041992877572,0.5854267357223951
ETL specification,92.16041992877572,0.5854267357223951
graphical displays,92.16041992877572,0.5854267357223951
Foundations,92.16041992877572,0.5854267357223951
DIGITAL X RAY MACHINE,80.86794013600932,0.585860436953664
Radiography,80.86794013600841,0.5858604369536682
Technical Sales Support,80.86794013600841,0.5858604369536682
Windows Internals,80.86794013600841,0.5858604369536682
Distributed Team Management,-203.92540186176004,0.5860306658225265
MS Sharepoint,-119.54203286567996,0.587619159339046
Product Strategy Roadmap,-119.54203286567996,0.587619159339046
technology roadmap,-119.54203286567996,0.587619159339046
ClickHouse,167.95032428744952,0.589937051670823
Java script,-139.2204050854455,0.5940148224751246
Computer Science,-750.0000000000077,0.5996588926361487
Eclipse,-133.76472246882403,0.6009196858793129
VB,262.2529604122913,0.6030265965792343
Visualforce,96.73277901449917,0.6037545312684832
requirements development,65.67555262109983,0.6048115277212053
Design Standards and Specification,-114.0484689493222,0.6082436480708479
Client Interactions,119.18770358407147,0.6096876258826912
IBM WAS,119.18770358407116,0.6096876258826918
IBM Maximo,119.18770358407116,0.6096876258826918
Web Services API,119.18770358407116,0.6096876258826918
Image Processing,78.81179669794142,0.6110767159896092
Agile Methodology,168.15685960796546,0.6136853863898429
Front-end Development,-191.72466698094084,0.6148408655221358
Assembly,-121.74217582764754,0.6169660720234306
Rocket U2,70.59806506277164,0.6192881836157392
Tuning of applications,70.59806506277164,0.6192881836157392
Redis,70.59806506277164,0.6192881836157392
tuning system performance,70.59806506277164,0.6192881836157392
Apache ZooKeeper,70.59806506277097,0.6192881836157413
Business Operations,-87.0319244788009,0.6199087143088015
enhance visuals,-203.30412630932085,0.6205060591885385
enforces coding standards,-614.1788762385471,0.6213870925039758
Reliable,-118.11507541450717,0.6279023127108561
Technical Direction,-118.11507541450717,0.6279023127108561
enhancing the features,-118.11507541450717,0.6279023127108561
Communication Skills,-173.88110732621965,0.6300050100747528
Microcontrollers,-115.38339586872448,0.631353929148707
Product Improvement,-58.627017330021765,0.6363835523599665
Manufacturing Execution Systems,-58.627017330021765,0.6363835523599665
software-engineering concepts,-58.627017330021765,0.6363835523599665
real-time control,-58.627017330021765,0.6363835523599665
Knowledge Transfer,-58.627017330021765,0.6363835523599665
Electronic and Electrical Engineering,-58.627017330021765,0.6363835523599665
Microsoft Visual Studio C++,55.52949956692361,0.6375226380445204
Software support,55.52949956692361,0.6375226380445204
technical deployment,55.52949956692361,0.6375226380445204
Gemini,-134.04527452167778,0.6383417699077627
Vector,-134.04527452167778,0.6383417699077627
OAuth,-102.36975958014355,0.645210647214601
ReactJS,161.13063950118058,0.6491270647852648
Microsoft SQL Server,87.55429048129395,0.6508943983646638
Writing,94.94985166159204,0.6532828076608599
PMP,108.34599103587061,0.6533421621781548
Scalability,-142.08114501523096,0.6572652881736376
new technologies,168.62366291744829,0.6580397334136057
Incident Management,-80.14066956283577,0.6586098572170214
File Management,-87.87419512279332,0.6598900261963989
Test Environment Setup,-87.87419512279332,0.6598900261963989
Training Delivery,-87.87419512279332,0.6598900261963989
Information Systems,198.51096551065328,0.6615511152411702
Usability,-85.11297598145727,0.663752290985891
Computer Architecture,-63.8496009076051,0.671615373097083
Process Management,-63.84960090760505,0.6716153730970833
Make the design,-63.84960090760505,0.6716153730970833
conference papers,-63.84960090760505,0.6716153730970833
3D Modeling,-63.84960090760507,0.6716153730970837
Performance Metrics,84.26993422542267,0.6722374975251092
market research techniques,84.26993422542267,0.6722374975251092
Technical Support,78.80658275593518,0.672536047986267
System Maintenance,127.27768981208418,0.6752020609076884
Machine Learning,127.06279611719003,0.675211257815167
Scalable Web Applications,-135.24065161707762,0.6769132297700521
Business Analysis,-75.31479370576415,0.6860749516495303
Sustainability,288.7108064677568,0.6866710993729882
SDLC methodology,102.01626871245908,0.6915786623388229
FreeRTOS,48.810014057273484,0.6929096589489262
Test Equipment,48.810014057273484,0.6929096589489262
Power Management,48.810014057273484,0.6929096589489262
Virtualization,48.810014057273484,0.6929096589489262
Project Cost,-46.19268539609779,0.6937826341555011
Drug Development,-46.19268539609779,0.6937826341555011
Driving License,-46.19268539609779,0.6937826341555011
Drug Discovery,-46.19268539609779,0.6937826341555011
Ability to Multitask,-46.19268539609697,0.6937826341555066
Work With Product Managers,-83.62331474952595,0.6940125430188744
Software Development Life Cycle,101.59048149112103,0.6955808053662899
Web Services,-111.35727849502717,0.6962221465262194
Linux,-149.86915788368296,0.7054414718056928
MVVM,-101.36039810607392,0.7064740662729531
Forecasting,47.66980355524567,0.7116999888351688
Selling,47.66980355524567,0.7116999888351688
requirements from stakeholders,106.92188700439442,0.7129753865473878
Agile & Waterfall Methodologies,122.19018101098106,0.7166963518513191
DNS,-68.46708893337495,0.7185490059007894
Large Scale Deployments,-68.46708893337475,0.7185490059007901
coordinating developers,-68.46708893337475,0.7185490059007901
JBoss,-68.46708893337475,0.7185490059007901
Smartforms,140.6622429306333,0.7234344013770594
web and business applications,-74.03139937176124,0.7251139669322432
Enterprise Security Solutions,-74.03139937176124,0.7251139669322432
Authentication,-72.45593733436016,0.7273213450978125
Software Architecture,129.57816038582325,0.7304471895428968
New Product Ideas,52.137044850131645,0.7304672269605788
controlling project schedules,52.137044850131645,0.7304672269605788
Consulting,123.1669995355052,0.7324394211954628
Incident Handling,175.49631266934284,0.7339043568031373
Manufacturing,-57.38887932461894,0.7344016245055531
NLP,-85.65868648583884,0.738076082985442
REST APIs development,-94.1908428971725,0.7443119674532939
MS Office,81.40960608212605,0.7502050737396931
JUnit,-84.45069214756953,0.7506039663004108
Design Development,-94.903776837447,0.7529205202062701
VueJS,85.46345754235293,0.7564105296729178
Software,-79.7178554903443,0.7587991273321223
New Product Development,-48.01235051236297,0.7615050861861553
ASP.NET Core,-47.17081265890493,0.7625313906505803
migration of systems,-47.170812658897205,0.7625313906506181
Migration Projects,-47.170812658897205,0.7625313906506181
mission critical systems,-47.170812658897205,0.7625313906506181
Functionality enhancements,-74.59590254688847,0.7641805352777604
Kubernetes,-89.7792670536282,0.7646600286546431
Software Project Management,-50.02247752619586,0.7656645379166418
Application Development,72.72805043829376,0.7727967570132304
RTOS,-66.57338181144985,0.7729990390010956
System Development,-56.387472825845784,0.7799664910043007
Kotlin,-89.18756281219535,0.7818671442496481
managing communication,74.92518617382211,0.7823412863687769
C Language,98.02669778124069,0.7835663449580073
MongoDB,-95.55761655212353,0.7838851168224692
Payments,49.660817215723824,0.784221376272577
Performance Tuning,60.76539396734684,0.7853789003066031
Test Management,-50.23004575288958,0.7861382815160998
IT Governance,-88.7262777089894,0.790168927507418
security issues,-88.7262777089894,0.790168927507418
System Integration Testing,-47.68978215404867,0.7923215705162506
HTML5,91.90720157343142,0.7931849832039105
SQL Server,78.55927053294039,0.8009747647257781
Amazon AWS,-68.22833017797049,0.8040039663666091
Quick Learner,38.05037291642168,0.8046852110975861
IT Management,38.05037291642168,0.8046852110975861
Code Review,-99.66143740905758,0.8056913956770558
Service Development,138.8902226877446,0.8058615361198384
Biomedical Engineering,-57.91712888974354,0.8112001785393466
Documentation,-84.84991263608795,0.8138316385146311
Unix,47.11014170384189,0.8138617181709696
technology deployment,-33.91287306195129,0.8150619078225958
Prototyping,-33.91287306195129,0.8150619078225958
Working alongside Product Teams,-33.91287306195129,0.8150619078225958
Digital Imaging,-33.91287306195129,0.8150619078225958
Research & Development,-33.91287306195129,0.8150619078225958
Microsoft Office,26.936384953743573,0.8178241653076438
Active Directory,26.936384953741033,0.8178241653076607
RDBMS,-61.050275094153854,0.8205025480342063
HTML Scripting,-61.050275094153854,0.8205025480342063
Code Enforcement,72.95041492971612,0.8207169291174651
Architectural,-59.119411606289674,0.83611432795744
BGP,22.815548529894304,0.8369758987132883
Checkpoint,22.81554852989366,0.8369758987132931
Network Automation,22.81554852989361,0.8369758987132936
OSPF,22.81554852989361,0.8369758987132936
Interpersonal Skills,-51.41597774501021,0.8385521194434064
SD,-108.26951559904168,0.8394859103022874
Analytical and Problem-Solving Skills,-70.73931507778413,0.8412291763616677
Agile Project Management,47.51326753195144,0.8485185980441685
DevSecOps,-56.75247751641145,0.8511276984747528
object orientated programming,-62.6433360228941,0.8515342778500297
Root Cause Analysis,43.29178222535562,0.8551588279555111
Baseball,23.282297131018385,0.8564467768266015
Segmentation,23.282297131017522,0.8564467768266067
Golf,23.282297131017522,0.8564467768266067
OpenCV,23.282297131017522,0.8564467768266067
Camera,23.28229713101612,0.8564467768266153
Cloud Technologies,34.07925913860771,0.8638274767377498
Computer Engineering,-86.8719810670443,0.8656847118404641
Internet of Things,31.762093568029172,0.8697112289801848
Torch/PyTorch,31.762093568029172,0.8697112289801848
Mobile Devices,31.762093568029172,0.8697112289801848
Design,35.11294584857768,0.8720867380637908
Robotics,-38.03653410808908,0.8778572181473265
Reliability,-39.74692094836053,0.8825223721972831
Flask,28.745165050608463,0.883013919262619
Predictive Analytics,28.745165050608463,0.883013919262619
Webbased Software Development,28.745165050608463,0.883013919262619
Scalable Systems,28.745165050608463,0.883013919262619
Conflict Resolution,33.776091125003006,0.8834286980214763
Regulatory Affairs,-16.165756767003966,0.8839117691208577
Seminars,-16.165756767003938,0.8839117691208579
ISO/IEC 17799,-16.165756767003938,0.8839117691208579
Educational Outreach,-16.165756767003938,0.8839117691208579
Medical Compliance,-16.165756767003938,0.8839117691208579
briefing meetings,-16.165756767003938,0.8839117691208579
Project Execution and Control,-16.165756767003938,0.8839117691208579
Quality Management Systems,-16.165756767003938,0.8839117691208579
SAIL,24.48296202745636,0.8841522006737942
Appian,24.482962027454192,0.8841522006738041
SAP ABAP BAPI,48.16885860439642,0.8859466814980697
ABAP development,48.16885860439376,0.8859466814980758
design requirements,43.743648348661765,0.889226838491976
compliance with engineering standards,25.8365619921046,0.899804316798231
data understanding,25.8365619921046,0.899804316798231
SAP,-64.25709131942608,0.9014852558150592
OOP,22.483145842627145,0.9049513242787696
software validation,22.483145842627145,0.9049513242787696
Architects,-44.32424673932838,0.9079925324798858
Manufacturing Automation,-23.794873436205428,0.9112410491321069
Engineering Leadership,-20.57664441360083,0.9130294248036027
Customer Success,21.87222300420685,0.9202275973400847
industry trends,21.155365615503314,0.9210565068697935
Degree in psychology,21.95600570729681,0.9224670517837155
Cybersecurity Framework Application,13.538507770969108,0.9256947772287126
UAT Coordination,13.538507770968462,0.9256947772287162
product backlog,13.538507770968462,0.9256947772287162
Analyzing software requirements,13.538507770963125,0.9256947772287459
Smart forms,38.44032266129273,0.9257679148884849
front end application,25.48350019146028,0.92661434718979
web front ends,25.48350019146028,0.92661434718979
web front end,25.48350019146028,0.92661434718979
Design Patterns,27.617544200944764,0.9320386897605778
User Experience Testing,11.322930950103562,0.9337911794768606
UX Design,11.322930950103562,0.9337911794768606
User Stories,11.322930950103562,0.9337911794768606
Storyboarding,11.322930950103562,0.9337911794768606
Wireframes,11.32293095010338,0.9337911794768616
REST APIs,29.677148383780434,0.9354574938389284
Data Structures,-20.779587312792643,0.9400144585116919
SAP ERP,37.96482894991755,0.942676012999357
Docker,-22.94986296661967,0.9435676055512929
COBOL,-12.032200236865503,0.9505898164407518
Atlassian JIRA,10.627519938542381,0.9537692570158666
Automation,10.62751993854112,0.953769257015872
Software Design Patterns,10.627519938540718,0.9537692570158738
IAM,10.627519938540718,0.9537692570158738
Apache Kafka,-13.465947384948691,0.9545762638643283
Laboratory,8.341043926996512,0.9595804041622394
Storage,-8.022707722309356,0.962891357191155
CSS,28.41539823088326,0.9653731258219178
Automation Tools,-15.311232196221937,0.9679369943926891
Mocha,5.8030691937899945,0.9704420869239242
design database schemas,5.8030691937899945,0.9704420869239242
Reliability Testing,5.8030691937899945,0.9704420869239242
AWS Lambda,5.803069193788815,0.9704420869239303
Private Cloud,-8.393396501469311,0.9780625796789291
Go,-8.393396501469311,0.9780625796789291
Java Application Development,6.537469337267218,0.9812478137983376
Sensors,-3.401702349363772,0.9876342699991828
ROS,-3.401702349363772,0.9876342699991828
Autonomous robot,-3.4017023493630965,0.9876342699991852
Optimization,7.339453061371984,0.9881585118419631
Java Applications,-1.5375025068183135,0.9958399333695649
Cloud Infrastructure,0.21766131130808475,0.9992849105531235
